idx,title,top10pick,top30pick,exploratorypick,priority_score,would_read,journal_name,journal_tier,field,authors,abstract,abstract_source,priority_score_confidence,would_read_confidence,throwawayreason,top10reason,top30reason,scorereason,exploratoryreason,firehose_label,throwaway,doi
931,Low Climate Benefit of Nordic Coastal Marshes: Site Conditions Outweigh Grazing Effects and Shape Trade‐Offs Between Carbon Storage and Its Stability,,,,3.0,1.0,Global Change Biology,A,applied_ecology,Carmen Leiva‐Dueñas; Gary T. Banta; Christoffer Boström; Franziska Eller; Johan Eklöf; Line Holm Andersen; Kai Jensen; Marianna Lanari; Ella Logemann; Pere Masque; Thomas Ostertag; Christoph Reisdorff; Anaïs Richard; Anu Vehmaa; Jukka Alm; Mikael von Numers; Dorte Krause‐Jensen,"ABSTRACT Coastal marshes, recognized as effective organic carbon (OC) sinks, have gained attention for their potential contribution to climate mitigation through protection and restoration. However, the climate mitigation potential of Nordic coastal marshes remains understudied, likely due to their heterogeneous and often non‐tidal nature. To fill this gap, we examined soil OC storage and accumulation rates, and the effects of grazing, a common management practice, across eight Nordic coastal marsh areas spanning broad climate and environmental gradients. We also assessed soil methane emissions in selected areas. The Nordic marshes studied store a median of 7 kg OC m −2 (interquartile range, IQR: 6–8) in the top 15–35 cm of soil and accumulate 41 g OC m −2 yr. −1 (IQR: 32–47). Considering only the additional OC, attributed to the presence of the marsh habitat, these values drop to 4 kg OC m −2 (IQR: 2–6) and 21 g OC m −2 yr. −1 (IQR: 11–33). Globally, both rates are comparatively low. OC stocks and accumulation rates increased with marsh age, root: shoot ratio (stress adaptation), and δ 15 N (fast N cycling), but declined with soil δ 13 C (related to faster decomposition under warmer conditions and sandier soils). Danish marshes had the highest but also most vulnerable OC stocks due to faster turnover, labile compounds, and coarser soil grain sizes. Although grazing only weakly increased soil OC stocks and had no effect on OC accumulation rates, it significantly reduced methane fluxes compared to ungrazed marshes. In ungrazed areas, methane emissions weakened the carbon sink by 32% in Finland and 68% in Denmark. However, estimated greenhouse gas emissions from on‐site cattle, even at low grazing intensity, largely outweighed the coastal marsh climate benefits. A comprehensive Nordic marsh management strategy is needed, extending beyond the focus on their limited, yet relevant, role in climate mitigation, and considering biodiversity, coastal protection and nutrient retention.",,0.55,0.9,"Discusses trade-offs between carbon storage and stability, suggesting decision-making elements.",,,"Empirical analysis of carbon storage, stability, methane, and grazing in Nordic marshes highlights management trade-offs but lacks formal decision optimization.",,False,0,10.1111/gcb.70889
998,Alternative vegetation states on the Loess Plateau and implications for large-scale afforestation success,,,,3.0,1.0,PNAS,AAA,na,"Li MaXuan LiXingchao XuLiping YangQinqin ChangSiqing WangChao GuanMiaojun MaChi XuYanchuang ZhaoEmilio GuiradoNing ChenChangming ZhaoaState Key Laboratory of Herbage Improvement and Grassland Agro-ecosystems, College of Ecology, Lanzhou University, Lanzhou, Gansu 730000, ChinabYuzhong Mountain Ecosystem Observation and Research Station, Lanzhou University, Lanzhou, Gansu 730000, ChinacInstitute of Geological Natural Disaster Prevention, Gansu Academy of Sciences, Lanzhou, Gansu 730000, ChinadSchool of Life Sciences, Nanjing University, Qixia District, Nanjing, Jiangsu 210023, ChinaeCollege of Information Science and Engineering, Henan University of Technology, Zhengzhou High-Tech Development Zone, Zhengzhou, Henan 450001, ChinafInstituto Multidisciplinar para el Estudio del Medio “Ramón Margalef”, Universidad de Alicante, Alicante 03690, Spain","Proceedings of the National Academy of Sciences, Volume 123, Issue 19, May 2026. <br />SignificanceRecognizing the Loess Plateau as the world’s largest afforestation area, we explored vegetation states across a large-scale survey to reassess precipitation thresholds of afforestation. We identified a forest maintenance threshold of 350 mm ...",,0.6,0.8,The title about vegetation states and afforestation success relates to conservation efforts.,,,Identifies afforestation thresholds and alternative states with practical restoration implications but no explicit decision optimization.,,True,0,10.1073/pnas.2527794123
1061,Trade-offs between nature and people in Ethiopia’s protected areas demonstrate challenges in translating global conservation targets into national realities,,,,3.0,1.0,Nature Ecology & Evolution,AA,ecology,Sophie Jago; Gebremeskel Gizaw; Bezawit Genanaw; Joe Langley; Ermias Lulekal; Joseph D. M. White; Adèle N. Rowlands; Tariku Geda; Kumara Wakjira; Fekede Regassa; Sebsebe Demissew; Feleke Woldeyes; Wendawek Abebe; Julia P. G. Jones; Robert J. Smith; James S. Borrell,"<p>Nature Ecology &amp; Evolution, Published online: 12 May 2026; <a href=""https://www.nature.com/articles/s41559-026-03047-9"">doi:10.1038/s41559-026-03047-9</a></p>Quasi-experimental analysis of the effects of Ethiopia’s protected areas on environmental and human wellbeing is combined with surveys of conservation professionals to explore why improving protected area effectiveness may be prioritized over network expansion.",,0.64,0.9,Trade-offs between nature and people in protected areas relate closely to conservation decision-making challenges.,,,Quasi-experimental evaluation of protected area effects and trade-offs informs management choices but lacks formal decision optimization.,,False,0,10.1038/s41559-026-03047-9
1113,Research on the allocation mechanism of grassland ecological compensation among different industries based on ecosystem product value accounting,,,,3.0,1.0,PLOS ONE,C,na,Li Ma; Yaojie Wu,"<p>by Li Ma, Yaojie Wu</p> The manifestation and allocation of the positive externalities of grassland ecosystem products are critical to realizing the value of ecological compensation. Previous studies on ecological compensation have largely overlooked the heterogeneity of ecosystem products within regions and the differences in compensation among various industrial sectors, particularly the alignment and regulatory role between industrial structure and ecological compensation. In response, this study shifts the focus from interregional horizontal compensation to intraregional structural compensation, emphasizing the rational allocation mechanism of ecosystem product value among different industrial actors. Based on meteorological monitoring data and land-use data, the value of grassland ecosystem products is estimated using the water balance method and soil erosion equations. Furthermore, an inter-industry ecological compensation allocation model is constructed based on the consumption value of grassland ecosystem products and the proportion of industrial structure. The results show that: (1) From 2013 to 2023, none of the four major pastoral regions are required to bear ecological compensation for carbon sequestration and oxygen release consumed by the livestock industry; however, the average ecological compensation surplus decreased from 7.38 × 10⁸ CNY to 7.09 × 10⁸ CNY. (2) Most regions are required to bear ecological compensation for air purification consumed by the industrial sector, while some regions in Inner Mongolia and Xinjiang are also required to compensate for water conservation consumed by industry. (3) No region is required to bear ecological compensation for water conservation and soil retention consumed by the tourism industry; however, regions such as Turpan and Alxa are required to compensate for carbon sequestration and oxygen release consumed by tourism, with the average compensation increasing from 1.35 × 10⁶ CNY to 1.54 × 10⁷ CNY.",,0.63,0.95,"The title discusses the allocation mechanism of ecological compensation based on ecosystem product value, relevant to conservation management.",,,"Develops an inter-industry ecological compensation allocation model tied to ecosystem service consumption, relevant to conservation policy design.",,True,0,10.1371/journal.pone.0349316
1138,Fencing disrupts spatiotemporal scaling of North American bison ecology: implications for conservation as wildlife,,,,3.0,1.0,Frontiers in Ecology and Evolution,C,ecology,Johanna A. Halcyon; Jayne L. Jonas; Glenn E. Plumb; Dustin H. Ranglack,"Hierarchy theory proposes that ecological processes are structured across temporal and spatial scales. However, structured scaling of the range of ecological phenomena of a wildlife species across its historic range has yet to be explicitly demonstrated. Through a systematic review of primary literature (1889-2023) on North American bison ( Bison bison ) managed as wildlife, we validate for the first time spatiotemporal structure across a wide range of ecological phenomena for both sub-species of the North American bison (Plains bison, B. b. bison , and Wood bison, B. b. athabascae ) across much of the species historic home range. We also found fencing disrupts the spatial scaling of ecological phenomena in Plains bison compared to free ranging herds. Lack of research on Wood bison managed as wildlife behind fences precluded assessing potential fencing effects on this subspecies. Our findings clearly demonstrate the limitations in continuing to attempt wild North American bison conservation behind fences.",,0.62,0.9,"The title connects ecological scaling of bison with conservation implications, indicating a decision-focused approach.",,,Systematic review linking fencing to disrupted ecological scaling in bison provides conservation implications without a decision model.,,False,0,10.3389/fevo.2026.1800225
1151,Non-native invasive beetle alters structure of a riparian bird community in a biodiversity hotspot,,,,3.0,1.0,Frontiers in Ecology and Evolution,C,ecology,Barbara E. Kus; Julie L. Yee; Shannon M. Mendia,"A serious emerging threat to southern California riparian ecosystems is the invasive shot hole borer ( Euwallacea spp.; SHB), a non-native beetle that cultivates a pathogenic fungus that kills trees of 66 reproductive host species. We examined the response of the bird community at the Tijuana River, California, to a massive SHB infestation in 2015 using data from a Monitoring Avian Productivity and Survivorship (MAPS) station operated during 7 pre-infestation (2009-15) and 7 post-infestation (2017-23) years. Species richness did not change between pre- and immediate (2017-18) post-SHB periods, but average annual adult captures declined by 27%. Among the species making up ≥ 5% of the total individuals caught in any one year (n=15), abundance declined by up to 76% in 10 species, including those most abundant at the station (Bushtit ( Psaltriparus minimus ), Song Sparrow ( Melospiza melodia ), Common Yellowthroat ( Geothlypis trichas ), Orange-crowned Warbler ( Leiothlypis celata ), and Wilson’s Warbler ( Cardellina pusilla )). Mean annual abundance increased slightly for the endangered Least Bell’s Vireo ( Vireo bellii pusillus ) and Northern Yellow Warbler ( Setophaga aestiva ) and doubled for House Finch ( Haemorhous mexicanus ) and Western Warbling-Vireo ( V. swainsoni ). We compared species trends at the Tijuana River to those at a nearby uninfested MAPS station on the Santa Margarita River to isolate the effect of SHB from other factors influencing annual abundance. The contribution of SHB to changes in abundance post-SHB was high (63-80%) for 7 declining species, moderate (22-45%) for 4 species, and weakly to moderately positive (18-40%) for 3 species. By 2019, the SHB infestation at the Tijuana River had abated and canopy cover was recovering through resprouting of mature willows ( Salix spp.) and seedling establishment. Bird abundance tracked this regrowth, with all of the species strongly affected by SHB increasing between 2019-23. The rapid recovery of the Tijuana River habitat and the associated response by the bird community are encouraging signs that the threat of the invasive shot hole borer to regional biodiversity may not be as great as originally anticipated.",,0.66,0.94,The invasive species impact on a bird community indicates a focus on conservation management.,,,Applied study on invasive impacts and recovery of a bird community that informs management but lacks explicit decision or optimization components.,,False,0,10.3389/fevo.2026.1810966
1161,Totems and sacred groves in southeast Nigeria: indigenous nature-based solutions for climate change mitigation and biodiversity conservation,,,,3.0,1.0,Frontiers in Ecology and Evolution,C,ecology,Felix Ifeanyi Nwafor; Ebere Ugwunwa Njoku; Perpetua Chikodili Okuh-Ikeme; Chibugo Chinedu Amadi; Chinenye Benita Ozokolie; Anthony Ejiofor Nweze; Chidera Oloto,"Introduction This research investigated the profound influence of indigenous religious and cultural practices among the Igbo communities in Southeast Nigeria on biodiversity conservation, particularly focusing on the role of totems and groves as traditional ecological knowledge systems. Methods Using a mixed-methods approach, the study combines descriptive assessments through interviews and quantitative ethnographic fieldwork and ecological assessment of selected groves. Twenty-seven (27) communities in Enugu State served as case studies. Results Out of the 21 totemic plants reported, Cola acuminata (RFC = 0.89; frequency = 452; UV = 4), Elaeis guineensis (RFC = 0.89; frequency = 452), Milicia excelsa (RFC = 0.83; frequency = 424), and Newbouldia laevis (RFC = 0.72; frequency = 368) were found to have high cultural salience in the ethnographic evaluation. Dracaena arborea (94.44%), Ficus thonningii (92.42%), and Cola acuminata (71.24%) had the highest fidelity scores, demonstrating substantial informant agreement on their distinct cultural significance. With values of 96.90% and 95.58%, respectively, ancestral link and symbolism dominated the cultural dimensions, demonstrating the crucial significance that plants play as cultural pillars. The combination of high species richness (133–179 species), high Shannon diversity (4.18–4.62), near-maximal Simpson’s index (0.97–0.99), and strong evenness (0.86–0.91) across the studied groves clearly demonstrates that these sacred forests function as ecological strongholds within the landscape while preserving their carbon sequestration potential. Importantly, groves with fewer individuals did not necessarily show reduced diversity, emphasizing that cultural protection rather than forest size alone is a key driver of biodiversity conservation. Moreover, the findings suggest that groves harbor a range of flora, often untouched by deforestation, and that totemic systems guide sustainable behavior toward the environment. Discussion This research contributes to a growing discourse on the value of indigenous knowledge in global sustainability efforts and offers a localized framework for implementing culturally relevant, low-cost, and community-led environmental solutions in Nigeria and beyond.",,0.58,0.8,Indigenous nature-based solutions imply management actions for climate change and biodiversity.,,,Mixed-methods assessment of sacred groves’ conservation value with management implications but no explicit conservation decision modeling.,,False,0,10.3389/fevo.2026.1732469
1162,Intensive monitoring of an Interior Snake River steelhead population reveals complex life history diversity and highlights the challenges in assessing freshwater productivity,,,,3.0,1.0,Frontiers in Ecology and Evolution,C,ecology,Stephen N. Bennett; Elizabeth Keksi; Ethan Crawford; Jason Neuswanger; Nicolaas Bouwes,"Estimating viable salmonid population parameters (VSP, abundance, productivity, spatial structure, and diversity) of Endangered Species Act listed salmon and steelhead ( Oncorhynchus spp.) in the Columbia River Basin is critical for assessing recovery efforts and the effectiveness of habitat restoration. We used two decades of data from a status and trends project (watershed-scale) and an experiment testing the effectiveness of stream restoration (headwater tributary-scale) to assess population parameters of summer run steelhead ( O. mykiss ) in Asotin Creek, WA. We assessed these parameters at the watershed-scale using screw trap and weir captures, and at the tributary-scale using passive integrated transponder tag interrogation systems and juvenile tagging. Asotin Creek adult spawner abundance varied from 2005-2023 (Average = 480, CV = 74.2, range = 83-1,260), and it consisted of &amp;gt; 97% wild steelhead over the last 10 years. We identified 24 life history strategies, which were dominated by fish spending 2 years in freshwater and 1–2 years in the ocean. Juvenile emigrants exhibited three movement pathways as they transitioned from headwaters to the hydrosystem: direct migration (no overwintering) and overwintering 1–2 years in the mainstem Asotin, or the Snake River, before entering the hydrosystem at Lower Granite Dam. Surprisingly, emigrant production from Asotin Creek persisted, even in years with low adult abundance and no adults entering the tributaries (average 44,550; CV = 31.1; range 22,587–73,749). There was evidence of density dependance as the emigrants/female spawning cohort decreased with an increasing abundance of females; however, there was high variability in the estimates. The diversity of life history traits (especially movement timing and age structure), high variance in population metrics, and equipment failure resulted in uncertainties in abundance estimation methods by influencing captures (weirs and screw trap) and remote detections (PIT tag arrays), which influenced population productivity estimates. However, the combination of capture and remote tag detection methods helped to identify these issues, better understand the Asotin steelhead population, improve our ability to assess the effectiveness of ongoing tributary restoration, highlight the difficulty of monitoring population productivity, and demonstrate the importance of decadal time series to understand the population status of steelhead.",,0.6,0.8,Intensive monitoring reveals important life history diversity relevant to freshwater productivity management.,,,Intensive monitoring and productivity assessment for ESA-listed steelhead inform management and restoration evaluation but focus on monitoring rather than decision optimization.,,False,0,10.3389/fevo.2026.1773648
1166,Applying niche theory to endangered plant conservation: analyzing habitat optimization pathways using Rosa anemoniflora as a case study,,,,3.0,1.0,Frontiers in Ecology and Evolution,C,ecology,Qun Yu; Chengjie Fu; Xianzhen Zhou; Wei Gao,"Niche theory is a cornerstone of ecology for understanding species coexistence. However, its application to guide conservation remains challenging. This study focuses on Rosa anemoniflora , a threatened plant endemic to China, and adopts a novel perspective by shifting from traditional interspecific niche comparisons to the analysis of intraspecific variation in niche breadth. We quantified niche breadth across different habitats using a newly developed circular sliding window technique, and then applied correlation, regression, and structural equation modeling to identify key soil factors associated with greater expression of intraspecific niche breadth. Our results indicate that high niche overlap in the herb layer may constrain population regeneration. Notably, soil total potassium (TK) and available potassium (AK) showed contrasting associations with niche breadth: TK was positively correlated, while AK was negatively correlated. This pattern suggests that variation in soil potassium status is closely associated with differences in the realized niche breadth of R. anemoniflora . Our sliding window–based analytical approach provides a methodological pathway for applying niche theory to precision conservation by linking fine-scale environmental variation to intraspecific niche expression. The approach offers a potentially transferable strategy and practical guidance for conserving other threatened species.",,0.57,0.8,The analysis of habitat optimization for endangered plants relates directly to conservation management.,,,Niche-based modeling identifies soil drivers to guide site-level conservation of an endangered plant but lacks an explicit decision framework.,,False,0,10.3389/fevo.2026.1741299
1167,Prebreeding populations and the importance of life history for conserving imperiled seabirds,,,,3.0,1.0,Frontiers in Ecology and the Environment,A,applied_ecology,Liam U Taylor; Eleanor Gnam,"Seabird conservation often focuses on nestlings and breeding adults. Yet imperiled seabird populations also contain prebreeders, including juveniles and subadults, that wait several years before breeding at colonies. Using previously published data on reproductive and survival rates for 90 species to quantify the conservation relevance of prebreeding seabirds, we found that (i) prebreeders on average represent about half of seabird populations (median: 48.1%, range: 7.6–70.0%); (ii) while seabird population growth is much more sensitive to adult survival than prebreeder survival, human‐driven changes may shift the importance of prebreeders for future population stability; and (iii) lowering the breeding age is a potentially useful, but underexplored, route to increasing population growth. Managing prebreeders could thus play a key role in protecting seabirds. This task may require addressing fundamental questions about the behavior of young birds. Broadly, we suggest that life‐history traits (eg breeding age) shape both obstacles to, and opportunities for, successful conservation.",,0.55,0.8,The focus on life history for conserving seabirds emphasizes management practices.,,,"Synthesis highlights management relevance of prebreeders and potential levers (e.g., breeding age) but remains conceptual without decision modeling.",,False,0,10.1002/fee.70049
1173,Amur tiger (Panthera tigrie altaica) conservation chanlleges and strategies in China,,,,3.0,1.0,Frontiers in Conservation Science,B,applied_ecology,Zhengang Liu; Jinzhe Qi; Suhang Sun; Wannian Cheng; Yachmennikova Anna; Guangshun Jiang,"China is effectively achieving the rapid recovery of the wild Amur tiger ( Panthera tigris altaica ) population and has a strong chance of reestablishing a sustainable population of over 300 individuals. However, to achieve more ambitious conservation goals, China needs to focus on enhancing the resilience of the population as it attempts to further increase its size, because only isolated, high-density populations are increasingly threatened by factors such as inbreeding, disease, and human-wildlife conflict. Successful conservation experiences and the application of AI and new monitoring technologies in tiger conservation provide excellent opportunities to address these issues. Based on the current conservation challenges faced by China, this article proposes future conservation efforts in several areas, including habitat restoration, prevention of inbreeding and disease, environmental pollution prevention, protection and community development, cross-border and interdisciplinary cooperation, and tiger conservation and carbon sequestration. We emphasize the need to promote a refined, efficient, intelligent, and community-friendly development in tiger conservation through new measures, such as tiger-friendly forest transformation, evaluating the potential impact of pollutants, developing “nonlethal pain stimulation deterrence” technology developed for human-tiger coexistence, applying AI, and combining tiger conservation with a carbon-neutrality plan.",,0.6,0.8,Discussion of challenges and strategies for Amur tiger conservation relates to management actions.,,,Qualitative overview of Amur tiger conservation challenges and strategies with practical suggestions but no quantitative decision or optimization framework.,,False,0,10.3389/fcosc.2026.1814831
133,"Are fishing decisions flexible? Participation, species target, and landing location choices in the U.S. west coast coastal pelagic species fishery",,,,2.0,1.0,Ecological Economics,B,economics,Felipe J. Quezada-Escalona; Desiree Tommasi; Isaac C. Kaplan; Barbara Muhling; Stephen M. Stohs,"This study analyzes how changes in forage species distribution affected Coastal Pelagic Species (CPS) vessel participation and target decisions in the U.S. West Coast fishery over the 2013–2017 period. We develop discrete choice models for the choice of species targeted: Pacific sardine ( Sardinops sagax ), market squid ( Doryteuthis opalescens ), Northern anchovy ( Engraulis mordax ), Chub ( Scomber japonicus ) and Jack ( Trachurus symmetricus ) mackerels or other Non-CPS species, and landing port during a specific day. We estimate separate nested logit models by fleet segments, which were defined previously using cluster analysis on vessel attributes such as fished area, average annual revenue, CPS diversification, and degree of reliance on CPS. An environmentally informed species distribution model (SDM) is used as a proxy for expected availability of forage species. We find that harvesters demonstrate flexibility in their fishing strategies in response to environmental and economic conditions. The study suggests that while some decisions are state-dependent, harvesters still have the capacity for adaptation. These insights are crucial for understanding the resilience of fisheries in the face of environmental variability and for informing management strategies to support sustainable fishing into the future. • Flexible fishing strategies in response to environmental and economic conditions • Discrete choice models link target, location, and participation decisions • Novel use of species distribution models as a proxy for availability • Fleet segments adapt differently: “on the move” vs. “in place” strategies • Findings inform fishery resilience and climate-adaptive management",api,0.55,0.8,The article's focus on fishing decisions encompasses conservation management aspects in the context of species.,,,Discrete choice models of fishers’ targeting and landing decisions yield management insights but do not optimize conservation outcomes or budgets.,,False,0,10.1016/j.ecolecon.2026.109051
157,Formulating a concept of operation (ConOps): A stakeholders-assisted standardization process for developing an integrated wildfire management platform,,,,2.0,1.0,Ambio,A,applied_ecology,Yvonne Brodrechtova; Andrea Majlingová; Zoltán Balogh; Emil Gatial; Ján Zelenka; Maroš Sedliak,"Abstract Wildfire management is undergoing rapid transformation as data fusion, artificial intelligence, and participatory approaches are used to enhance ecosystem resilience and community safety. This paper presents the development of a concept of operations (ConOps) within the EU project SILVANUS, aimed at supporting design of an integrated, data-driven platform for wildfire management. The ConOps was developed using a methodology that combines systems engineering principles, standardized information management, and participatory stakeholder engagement across ten international pilot sites. Through iterative refinement, it captures the operational context and system requirements in pre-fire, active fire, and post-fire phases. The analysis identifies key limitations in existing wildfire management systems such as fragmented technologies, inconsistent data standards, limited interoperability, and weak institutional coordination. The proposed ConOps provides a structured and replicable framework to address these challenges. While the methodology effectively supports requirement definition and operational scenario development, real-world pilot testing remains necessary to assess implementation challenges.",,0.52,0.8,"The title involves developing an integrated wildfire management platform, indicating decision-making relevance.",,,Systems-engineering ConOps for wildfire platform focuses on integration and stakeholder processes rather than conservation decision analysis or optimization.,,False,0,10.1007/s13280-026-02375-1
158,Stakeholder perceptions of forest disturbance drivers and management responses are aligned in Central Europe,,,,2.0,1.0,Ambio,A,applied_ecology,Michaela Perunová; Roman Modlinger; Vilém Jarský; Tomáš Hlásny,"Abstract Forest disturbances are increasingly understood as social-ecological phenomena involving diverse actors. Here, we focused on one of the Europe’s largest recent disturbances—the drought-triggered bark beetle outbreak in Central Europe (2017–2022). Based on a survey of 165 respondents, we examined perceived disturbance drivers, response actions, and the alignment between them as an indicator of a value-action gap that is often present in social-ecological and governance systems. Climatic and forest structure-related factors were identified as the dominant drivers, aligning with current scientific understanding, whereas socio-economic and management constraints were perceived as less influential. Reported responses reflected awareness of climate-change risks and involved workforce training, adaptive change in species composition, and water-retention measures. Cause–action alignment was observed in nearly half of respondents, particularly among managers and legal entities. We found a relatively sound understanding of disturbance causes and corresponding responses, likely shaped by recent experience with an unprecedented disturbance impact.",,0.58,0.85,"The title discusses perceptions of forest disturbance and management responses, relevant to conservation decision-making.",,,Stakeholder perception study on disturbance drivers and responses provides governance context without quantitative decision modeling.,,False,0,10.1007/s13280-026-02397-9
160,"People–nature relations and community perception on conservation: Case of Kisandji Village near Upemba National Park, the Democratic Republic of the Congo (DRC)",,,,2.0,1.0,Ambio,A,applied_ecology,Alimata Sidibe; Wai Phyoe Maung; Maria Brockhaus; Pacifique Kiwele Mutambala; David Nkulu Mwenze; Clément Kalombo Kabalika; Augustin Kalumba Mwanke; Laurent Kabala Kazadi; Esther Changwa; Grace Y. Wong,,missing,0.5,0.8,"The title indicates community perceptions on conservation, relevant to decision-making processes.",,,Community perceptions around conservation offer social insights but lack decision-analytic or optimization components.,,False,0,10.1007/s13280-026-02410-1
164,Cultivating change: Addressing shifts in knowledge and skills required for landscape-scale nature recovery,,,,2.0,1.0,Ambio,A,applied_ecology,Joshua Davis,"Abstract Delivering landscape-scale nature recovery depends on the effective acquisition and development of skills across agricultural, environmental, and governance contexts. This study draws on 25 semi-structured interviews with farmers, land managers, and intermediary organisations (delivery partners, bridging organisations, extension/advisory services) across England to examine how skills are acquired and developed in practice. Informed by taskscapes literature and structured around a novel five-domain analytical framework—systems thinking, lifelong and life-wide learning, collaborative partnerships, agri-environmental entrepreneurship, and technical expertise—findings highlight the centrality of collaborative, entrepreneurial, and technical capacities. They also reveal core tensions and misalignments: between (1) policy ambition and institutional capacity; (2) fragmentation of learning pathways caught between standardisation and flexibility; and (3) entrepreneurial initiative within compliance-oriented governance structures. The research underscores the need for tailored skill frameworks spanning formal, informal, and non-formal learning pathways to support adaptive knowledge exchange and the practical delivery of landscape-scale nature recovery.",,0.5,0.75,"The title addresses shifts in skills and knowledge for nature recovery, which could relate to conservation planning.",,,Qualitative assessment of skills and learning for landscape-scale recovery informs implementation capacity rather than decision optimization.,,False,0,10.1007/s13280-026-02404-z
271,Linking perceptions of weeds with approaches to weed management,,,,2.0,1.0,People and Nature,B,applied_ecology,James P. Westfield; Elizabeth M. Wandrag; Lindsay C. Stringer,"Abstract A multitude of factors can shape people's perceptions, leading to a variety of views on nature's services and values. The IPBES Values Framework highlights the ways that people and nature interact (both positively and negatively) through consideration of nature's contributions to people. For plants, differences in perceived values by different groups of people can be diverse and polarised, shaped by a range of factors, leading to inefficient or unsustainable management practices. This research helps land stakeholders to think more reflexively as to why and how their perceptions of weeds impact their approaches to weed management, and to think about alternative approaches that could be more environmentally, economically or socially sustainable. This contributes a novel way of involving land stakeholders in wider global debates whilst maintaining a focus on their everyday land management practices. Through a case study of gorse ( Ulex europaeus) , this research: (1) assesses whether gorse is perceived differently across its native and non‐native ranges; and (2) considers whether these differing perceptions affect dominant gorse management approaches. Stakeholder analysis, using interest‐influence matrices, identified relevant land managers. Interviews ( n = 22) and questionnaires ( n = 30) gathered data on gorse perceptions and management approaches in its native ( n = 17) and non‐native ( n = 35) ranges. Data were analysed in NVivo 20, coded to map onto 12 contributions to people, categorised to positive, negative or neutral perceptions and themed to management approaches. In the non‐native range, gorse was unanimously perceived as negative, linked with a colonial past and legal requirements for it to be managed, and predominantly managed through burning and herbicide treatment. In the native range, positive views of gorse were linked to occasional cutting to maintain its presence as part of the overall landscape biodiversity. Future research should focus on how best to engage those with negative views of plants such as gorse that may be perceived as weeds, considering how to reframe them as useful plants that can contribute to sustainable environmental management. Read the free Plain Language Summary for this article on the Journal blog.",,0.6,0.85,"The title indicates a link between perceptions of weeds and management, relevant for conservation decision-making.",,,Examines perceptions of a weed and resultant management approaches; adjacent to conservation decisions but mainly qualitative and not optimization-focused.,,False,0,10.1002/pan3.70337
279,‘We want to be the hosts of this story’: Learning from community‐led approaches to data governance of land use for nature recovery,,,,2.0,1.0,People and Nature,B,applied_ecology,Lucy Jenner; Marc J. Metzger; Darren Moseley; Ed Forrest,"Abstract Debates abound regarding how to use land for nature recovery and environmental governance. Such decisions require an understanding of benefits and trade‐offs, and increasingly rely on vast quantities of data, delivered through digital technologies. However, barriers such as data accessibility, adequacy, communication, knowledge types and technical capabilities prevent more equitable engagement with such decision‐making. Efforts to improve this include academic, policy and private sector initiatives, from citizen science to participatory scenario planning. Despite this, the use of data and technology in land use and nature recovery decision‐making remains opaque, especially at the community level. Alongside this, there is a lack of evidence that data leads to improved outcomes for nature; evidence suggests in some cases that more data can exacerbate issues of exploitation. Ethical questions arise around the datafication of land and nature governance, where data ownership influences power dynamics. Concerns include the privatisation of nature data, a focus on a narrow set of values and epistemologies, and limited access hindering democratic governance. In this context, we explore whether improved data access can enhance understanding of land use change for nature recovery, focusing on community‐led approaches. We used a mixed‐methods approach comprising stakeholder interviews and surveys, situated within Galloway and Southern Ayrshire UNESCO Biosphere, part of an international network of Biospheres Reserves. We find that lack of data contributes to conflict and disempowerment, leading to community attempts to take ownership of the process of creating, accessing and managing data. This includes creative, non‐technological approaches to surface the less easily quantified aspects of landscape‐scale change, from treasured landscapes to ‘desire lines’ (a track created by humans or other nature through preference or habit where one does not exist). We find evidence that this approach is leading to greater engagement with land use and nature recovery, improved environmental governance and an evolution of environmental datafication. We conclude by arguing that nature data should be treated as a common good, with considered governance, sharedness and reciprocity. Read the free Plain Language Summary for this article on the Journal blog.",,0.55,0.75,"The title suggests learning from community-led initiatives related to data governance in nature recovery, relevant to conservation strategies.",,,Explores community-led data governance for land use and nature recovery; relevant to participatory decision contexts but without quantitative planning or optimization.,,False,0,10.1002/pan3.70327
